,Review_title,Review_text,Ratings
0,Terrific,"Hp laptop is the Best one 👍💞😍
I am so Happy for this Lappi.💕
Laptop Looks like a very Pretty 😍
Sounds is Awesome and Loud❤️
Display Quality is Full HD. ❤️
Battery Backup is a very Well❤️
Processor very fast 💕
Values of quality and Money 👍
Thank you Flipkart for timely Delivery this Product. Always love and recommend Flipkart shopping ❤️",5
1,Excellent,Good laptop for students and day today work . It is fast as compared to HDD boot time 5 to 7sec due to SSD.,5
2,Perfect product!,Just awesome laptop... Everything is just perfect and up to the mark..... Very good functioning.....I just loved it very much...... Thank you so much Flipkart for giving me such a beautiful laptop.....🥰❤️,5
3,Mind-blowing purchase,"Great laptop
must buy
Perfect for multimedia as well as normal usage
Or Microsoft office

It's good for official use and it works really well",5
4,Super!,Excellent,5
5,Brilliant,Excellent,5
6,Highly recommended,Value for money,5
7,Excellent,Nice,5
8,Great product,Awesome product go for it..♥️♥️,5
9,Highly recommended,Awesome go for it,5
10,Terrific,"Hp laptop is the Best one 👍💞😍
I am so Happy for this Lappi.💕
Laptop Looks like a very Pretty 😍
Sounds is Awesome and Loud❤️
Display Quality is Full HD. ❤️
Battery Backup is a very Well❤️
Processor very fast 💕
Values of quality and Money 👍
Thank you Flipkart for timely Delivery this Product. Always love and recommend Flipkart shopping ❤️",5
11,Excellent,Good laptop for students and day today work . It is fast as compared to HDD boot time 5 to 7sec due to SSD.,5
12,Perfect product!,Just awesome laptop... Everything is just perfect and up to the mark..... Very good functioning.....I just loved it very much...... Thank you so much Flipkart for giving me such a beautiful laptop.....🥰❤️,5
13,Mind-blowing purchase,"Great laptop
must buy
Perfect for multimedia as well as normal usage
Or Microsoft office

It's good for official use and it works really well",5
14,Super!,Excellent,5
15,Brilliant,Excellent,5
16,Highly recommended,Value for money,5
17,Excellent,Nice,5
18,Great product,Awesome product go for it..♥️♥️,5
19,Highly recommended,Awesome go for it,5
20,Really Nice,Amazing product must buy,4
21,Good choice,Super...... 🤩🤩🤩🤩🤩🤩🤩🤩🤩but how to activate keyword background light...,4
22,Fabulous!,"I'm using it last 4 days performance, display, design
all good at this price 👍👍👍
Battery is also good for average use",5
23,Excellent,Very good,5
24,Mind-blowing purchase,Best laptop. But battery work 5-5.5hour,5
25,Highly recommended,Its amazing💻,5
26,Highly recommended,Very Good.... worth it product 😃😃,5
27,Could be way better,Poor Battery backup. It lasts only for 2hrs even with 100% charge. Very disappointed with the product due to battery backup issue.,2
28,Wonderful,BEST PRICE BEST PERFORMANCE,4
29,Worth every penny,Good,5
30,Best in the market!,nyc vale of money,5
31,Great product,Happy,5
32,Perfect product!,Awesome laptop with great combination of best display and robust performance,5
33,Worth every penny,Best laptop,5
34,Fair,Battery performance is not good.... also Some times office not working...,3
35,Pretty good,Good to purchase it by online. But so many things not done by the sailor,4
36,Mind-blowing purchase,Very nice laptop,5
37,Best in the market!,Good,5
38,Awesome,Wonderful.. I'm satisfied,5
39,Decent product,Sound battery all are ok but when call to others they can't hear my voice clearly.,3
40,Fabulous!,Good Laptop,5
41,Moderate,Battery heat use fast,2
42,Really Nice,Good,4
43,Classy product,"I am very happy,bettery beckup is best display quality amazing",5
44,Nice product,I am facing issue with keyboard buttons. After use of 10 to 20 minits any one button is continously blinking on the screen.🤯🤯,4
45,Simply awesome,Impressive,5
46,Brilliant,Nice,5
47,Really Nice,Product is good but battery backup is not good.....,4
48,Nice product,This is my first buy in laptop and it is very awesome it is highly recommended to student and light graphic user,4
49,Slightly disappointed,It's built quality is not good and it's keyboard keys are very thin,2
50,Really Nice,"Its gud,but price is little bit high ..charging is gud.",4
51,Good,Nice product,3
52,Must buy!,Decent product worth,5
53,Really Nice,Amazing product must buy,4
54,Good choice,Super...... 🤩🤩🤩🤩🤩🤩🤩🤩🤩but how to activate keyword background light...,4
55,Fabulous!,"I'm using it last 4 days performance, display, design
all good at this price 👍👍👍
Battery is also good for average use",5
56,Excellent,Very good,5
57,Mind-blowing purchase,Best laptop. But battery work 5-5.5hour,5
58,Highly recommended,Its amazing💻,5
59,Highly recommended,Very Good.... worth it product 😃😃,5
60,Could be way better,Poor Battery backup. It lasts only for 2hrs even with 100% charge. Very disappointed with the product due to battery backup issue.,2
61,Wonderful,BEST PRICE BEST PERFORMANCE,4
62,Worth every penny,Good,5
